title,date,specimenId,species,sex,abdomenStatus,morphSpecies,morphSex,morphAbdomenStatus,morphNotes,country,district,site,image,yolovConfidenceLevel,imageZoomed,status,latitude,longitude,cityName,deviceInUse,phoneInUse,deviceId,localId,collectionMethod,createdAt,hardware,isCompleted,name,notes,updatedAt
Test44,9/1/23,31,Anopheles other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-53-27.377-835aaf65dbb3fbc1-2-16.jpg,0.81,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:16,Human Landing Catch (HLC),2023-01-10T05:30:58.388Z,VectorCam V3,FALSE,Test,,2023-01-10T05:54:46.864Z
Test44,9/1/23,32,Anopheles other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-53-27.442-835aaf65dbb3fbc1-2-17.jpg,0.82,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:17,Human Landing Catch (HLC),2023-01-10T05:31:03.093Z,VectorCam V3,FALSE,Test,,2023-01-10T05:54:46.444Z
Test44,9/1/23,33,Anopheles other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-53-27.399-835aaf65dbb3fbc1-2-18.jpg,0.55,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:18,Human Landing Catch (HLC),2023-01-10T05:31:06.732Z,VectorCam V3,FALSE,Test,,2023-01-10T05:54:47.102Z
Test44,9/1/23,34,Anopheles other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-53-27.516-835aaf65dbb3fbc1-2-19.jpg,0.6,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:19,Human Landing Catch (HLC),2023-01-10T05:30:58.942Z,VectorCam V3,FALSE,Test,,2023-01-10T05:54:45.138Z
Test44,9/1/23,35,Anopheles other,Female,G - Gravid,,,,,India,Gujarat,abb,http://137.184.182.201:5005/images/session/image-2023-01-10-05-54-46.284-835aaf65dbb3fbc1-2-20.jpg,0.61,No,Fresh,,,,,,835aaf65dbb3fbc1:3330c648-ad75-4c24-9ebc-53b3d1f5ce84,2:20,Human Landing Catch (HLC),2023-01-10T05:55:01.328Z,VectorCam V3,FALSE,Test,,2023-01-10T05:55:01.328Z
TestRavi,12/1/23,1111,Anopheles funestus,Female,FF - Fully Fed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-43.513-59fc2e35fc8ca340-4-31.jpg,0.79,No,Fresh,21.2403975,72.8716307,Surat,TestDevice,TestPhone,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,4:31,Human Landing Catch (HLC),2023-01-16T10:03:47.388Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:47.388Z
TestRavi,12/1/23,1112,Anopheles funestus,Male,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-42.806-59fc2e35fc8ca340-4-32.jpg,0.87,No,Fresh,21.2403975,72.8716307,Surat,TestDevice,TestPhone,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,4:32,Human Landing Catch (HLC),2023-01-16T10:03:45.153Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:45.153Z
TestRavi,12/1/23,1113,Anopheles funestus,Female,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-42.303-59fc2e35fc8ca340-4-33.jpg,0.86,No,Fresh,21.2403975,72.8716307,Surat,TestDevice,TestPhone,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,4:33,Human Landing Catch (HLC),2023-01-16T10:03:44.711Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:44.711Z
TestRavi,12/1/23,1114,Anopheles funestus,Male,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-16-10-03-43.706-59fc2e35fc8ca340-4-34.jpg,0.87,No,Fresh,21.2403975,72.8716307,Surat,TestDevice,TestPhone,59fc2e35fc8ca340:80262e5c-2297-4467-8435-daa2a05528c4,4:34,Human Landing Catch (HLC),2023-01-16T10:03:48.898Z,VectorCam V3,FALSE,Demo Device,,2023-01-16T10:03:48.898Z
Test00001,12/1/23,123001,Anopheles other,Male,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.015-59fc2e35fc8ca340-7-75.jpg,0.92,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.34375,Human Landing Catch (HLC),2023-01-12T11:21:11.958Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:11.958Z
Test00001,12/1/23,123002,Anopheles other,Male,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.082-59fc2e35fc8ca340-7-76.jpg,0.89,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.344444444,Human Landing Catch (HLC),2023-01-12T11:21:12.330Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:12.330Z
Test00001,12/1/23,123003,Anopheles other,Female,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.086-59fc2e35fc8ca340-7-77.jpg,0.87,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.345138889,Human Landing Catch (HLC),2023-01-12T11:21:13.333Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:13.333Z
Test00001,12/1/23,123004,Anopheles gambiae,Female,G - Gravid,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.077-59fc2e35fc8ca340-7-78.jpg,0.64,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.345833333,Human Landing Catch (HLC),2023-01-12T11:21:20.014Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:20.014Z
Test00001,12/1/23,123005,Anopheles other,Female,G - Gravid,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.095-59fc2e35fc8ca340-7-79.jpg,0.37,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.346527778,Human Landing Catch (HLC),2023-01-12T11:21:18.852Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:18.852Z
Test00001,12/1/23,123006,Anopheles other,Female,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.071-59fc2e35fc8ca340-7-80.jpg,0.77,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.347222222,Human Landing Catch (HLC),2023-01-12T11:21:15.561Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:15.561Z
Test00001,12/1/23,123007,Culex,Female,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.140-59fc2e35fc8ca340-7-81.jpg,0.78,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.347916667,Human Landing Catch (HLC),2023-01-12T11:21:20.024Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:20.024Z
Test00001,12/1/23,123008,Anopheles other,Female,UF - Unfed,,,,,India,Gujarat,Abc,http://137.184.182.201:5005/images/session/image-2023-01-12-11-21-07.130-59fc2e35fc8ca340-7-82.jpg,0.72,No,Fresh,,,,,,59fc2e35fc8ca340:b3b302b7-0416-4a5a-bd79-e1524b509fe6,0.348611111,Human Landing Catch (HLC),2023-01-12T11:21:17.591Z,VectorCam V3,FALSE,Demo Device,,2023-01-12T11:21:17.591Z
